"92,00%","99,00%",7,7,t,t,Copacabana,4,1,1,2,$448.00,2,90,2,7,90,1125,2.6,483.4,t,0,23,42,175,47,2,1,4.76,4.61,t,6,6,0,0.43,,,,,,,,
N/A,N/A,1,1,t,f,Laranjeiras,1,,1,1,$511.00,1,30,1,1,30,30,1.0,30.0,t,30,60,90,365,0,0,0,,,f,1,0,1,,,,,,,,,
N/A,N/A,1,1,t,t,Ipanema,2,1,1,1,$227.00,3,30,3,3,1125,1125,3.0,1125.0,t,0,0,0,240,167,0,0,4.89,4.77,f,1,0,1,1.38,,,,,,,,
"100,00%","100,00%",3,3,t,t,Copacabana,2,1,1,2,$163.00,1,730,1,1,730,730,1.0,730.0,t,19,31,51,326,7,0,0,5.0,5.0,t,3,0,3,0.10,,,,,,,,
"100,00%","100,00%",3,3,t,t,Barra da Tijuca,4,1,1,1,$523.00,4,500,4,4,1125,1125,4.0,1125.0,t,5,8,21,280,51,2,0,4.82,4.76,f,2,2,0,0.48,,,,,,,,
"20,00%","0,00%",3,3,t,t,Botafogo,4,1,1,1,$170.00,4,730,4,4,730,730,4.0,730.0,t,11,37,59,334,0,0,0,,,f,3,2,1,,,,,,,,,
"100,00%","90,00%",8,8,t,t,Botafogo,2,1,1,2,$192.00,8,365,8,8,365,365,8.0,365.0,t,30,60,90,365,17,0,0,4.92,4.54,f,7,3,4,0.14,,,,,,,,
"90,00%","82,00%",3,3,t,t,Centro,3,1,,2,$190.00,4,89,3,5,1125,1125,3.7,1125.0,t,23,53,72,162,61,1,0,4.55,4.54,t,2,2,0,0.57,,,,,,,,
"100,00%","91,00%",1,1,t,t,Leblon,4,1,,3,"$1,065.00",3,1125,3,3,1125,1125,3.0,1125.0,t,8,38,68,307,112,5,3,4.75,4.69,t,1,1,0,0.89,,,,,,,,
"20,00%","0,00%",3,3,t,t,Botafogo,2,,1,1,$200.00,4,120,4,4,120,120,4.0,120.0,t,24,52,75,350,0,0,0,,,f,3,2,1,,,,,,,,,
N/A,N/A,1,1,t,f,Santo Cristo,2,2,1,2,$397.00,1,730,1,1,730,730,1.0,730.0,t,30,60,90,365,0,0,0,,,f,1,0,1,,,,,,,,,
"100,00%","100,00%",1,1,t,f,Barra da Tijuca,4,1,2,2,$800.00,4,30,4,4,30,30,4.0,30.0,t,22,52,82,357,7,0,0,4.71,4.43,f,1,1,0,0.11,,,,,,,,
"100,00%","67,00%",4,4,t,t,Santa Teresa,1,1,1,1,$60.00,60,180,60,60,180,180,60.0,180.0,t,26,55,85,360,2,0,0,5.0,5.0,f,4,0,4,0.02,,,,,,,,
"75,00%","100,00%",1,1,t,f,Copacabana,4,1,1,2,$320.00,4,30,4,4,1125,1125,4.0,1125.0,t,20,50,80,346,150,6,0,4.62,4.53,f,1,1,0,1.16,,,,,,,,
N/A,"20,00%",1,1,t,f,Glória,5,2,2,2,$496.00,3,360,3,3,360,360,3.0,360.0,t,0,0,0,61,58,1,0,4.85,4.68,f,1,1,0,0.45,,,,,,,,
"100,00%","97,00%",1,1,t,t,Ipanema,8,3,4,6,"$1,338.00",2,29,2,7,1125,1125,2.4,1125.0,t,0,13,30,279,169,19,2,4.9,4.73,f,1,1,0,1.39,,,,,,,,
"100,00%","100,00%",5,5,t,t,Itanhangá,13,4.5 ,7,11,"$3,679.00",1,30,1,1,1125,1125,1.0,1125.0,t,25,55,85,244,7,5,2,4.29,4.29,t,6,5,1,0.19,,,,,,,,
"86,00%","33,00%",1,1,t,t,Copacabana,2,1,,1,$797.00,3,31,3,3,1125,1125,3.0,1125.0,t,30,60,90,279,85,0,0,4.99,4.79,f,1,1,0,0.66,,,,,,,,
N/A,N/A,2,2,t,t,Praça Seca,2,1,1,1,$250.00,1,365,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,4,0,0,4.75,4.5,t,1,0,1,0.03,,,,,,,,
N/A,N/A,1,1,t,t,Copacabana,4,1,,2,$180.00,3,720,3,3,720,720,3.0,720.0,t,0,0,0,0,4,0,0,5.0,5.0,t,1,1,0,0.09,,,,,,,,
"100,00%","100,00%",1,1,t,t,Laranjeiras,1,2,1,2,$105.00,1,45,1,1,45,45,1.0,45.0,t,24,54,84,359,5,0,0,5.0,5.0,f,1,0,1,0.05,,,,,,,,
"100,00%","100,00%",6,6,t,t,Copacabana,2,1,1,2,$160.00,2,15,2,2,15,15,2.0,15.0,t,0,0,18,18,4,0,0,4.67,4.0,f,5,1,4,0.05,,,,,,,,
"0,00%",N/A,2,2,t,t,Maracanã,3,1,1,3,$300.00,1,730,1,1,730,730,1.0,730.0,t,29,59,89,364,1,0,0,5.0,5.0,f,1,0,1,0.01,,,,,,,,
"75,00%",N/A,1,1,t,t,Santa Teresa,1,1,1,1,$70.00,2,1125,2,2,1125,1125,2.0,1125.0,t,21,51,81,356,30,0,0,4.93,4.93,f,1,0,1,0.29,,,,,,,,
"100,00%","100,00%",14,14,t,t,Leblon,5,2,2,4,"$2,703.00",2,120,2,2,366,366,2.0,366.0,t,0,18,37,307,26,10,0,4.92,4.76,t,5,5,0,0.21,,,,,,,,
"100,00%","73,00%",1,1,t,t,Leblon,4,1,2,3,$393.00,3,1125,3,3,1125,1125,3.0,1125.0,t,0,7,17,154,35,2,0,4.82,4.79,f,1,1,0,0.28,,,,,,,,
N/A,N/A,1,1,t,f,Lagoa,4,2,2,2,"$2,838.00",21,365,21,21,365,365,21.0,365.0,t,30,60,90,365,0,0,0,,,f,1,1,0,,,,,,,,,
"100,00%","96,00%",3,3,t,t,Ipanema,4,,3,1,$397.00,6,365,6,6,365,365,6.0,365.0,t,0,0,24,299,39,0,0,4.53,4.53,f,1,1,0,0.31,,,,,,,,
"70,00%","68,00%",2,2,t,t,Botafogo,4,2,2,2,"$1,127.00",2,365,2,2,365,365,2.0,365.0,t,1,24,45,320,35,10,1,4.9,4.79,f,2,2,0,0.27,,,,,,,,
"100,00%","57,00%",4,4,t,t,Humaitá,2,1.5 ,1,1,$486.00,2,365,2,2,365,365,2.0,365.0,t,22,51,76,351,81,0,0,4.94,4.89,f,2,0,2,0.69,,,,,,,,
"0,00%","100,00%",1,1,t,f,Jacarepaguá,4,1,2,2,$500.00,1,730,1,1,730,730,1.0,730.0,t,30,60,90,361,0,0,0,,,t,1,1,0,,,,,,,,,
"100,00%","93,00%",10,10,t,t,Copacabana,4,1,,2,$367.00,2,180,2,4,180,180,2.1,180.0,t,2,30,51,326,92,7,3,4.58,4.56,f,10,10,0,0.73,,,,,,,,
"100,00%","100,00%",2,2,t,f,Copacabana,2,1,1,2,$234.00,3,10,3,3,10,10,3.0,10.0,t,0,22,48,323,12,0,0,4.64,4.64,f,2,0,2,0.13,,,,,,,,
"25,00%","50,00%",1,1,t,f,Copacabana,4,1,,3,$299.00,3,180,3,3,10,180,3.0,173.8,t,0,0,0,238,1,0,0,4.0,4.0,f,1,1,0,0.04,,,,,,,,
"100,00%","93,00%",10,10,t,t,Ipanema,5,1,1,3,$523.00,2,150,2,5,150,150,2.1,150.0,t,3,33,58,310,64,6,1,4.69,4.52,f,10,10,0,0.57,,,,,,,,
"100,00%","93,00%",10,10,t,t,Copacabana,3,1,1,1,$410.00,2,180,1,2,180,180,1.4,180.0,t,0,0,18,293,77,4,0,4.72,4.65,f,10,10,0,0.62,,,,,,,,
"100,00%","100,00%",2,2,t,f,Barra da Tijuca,1,1,1,1,$264.00,2,30,2,2,30,30,2.0,30.0,t,28,58,88,363,1,0,0,5.0,4.0,f,2,1,1,0.04,,,,,,,,
"100,00%","93,00%",10,10,t,t,Copacabana,4,1,,2,$381.00,2,180,2,4,180,180,2.1,180.0,t,2,13,28,303,102,3,1,4.66,4.56,f,10,10,0,0.82,,,,,,,,
"100,00%",N/A,1,1,t,f,Vidigal,2,1,1,1,$454.00,3,1125,3,3,1125,1125,3.0,1125.0,t,28,58,88,363,1,0,0,3.0,5.0,f,1,1,0,0.02,,,,,,,,
"100,00%","93,00%",10,10,t,t,Copacabana,2,1,1,1,$329.00,2,150,2,4,150,150,2.1,150.0,t,2,29,51,326,96,10,2,4.18,4.11,f,10,10,0,0.76,,,,,,,,
"100,00%","90,00%",4,4,t,t,Copacabana,2,1,1,1,$510.00,1,28,1,5,28,28,1.1,28.0,t,4,34,64,71,78,15,1,4.76,4.65,f,3,3,0,0.64,,,,,,,,
"100,00%","100,00%",2,2,t,t,Copacabana,4,1.5 ,2,2,$903.00,3,1125,3,6,1125,1125,3.2,1125.0,t,8,8,8,44,196,6,2,4.95,4.84,t,2,2,0,1.56,,,,,,,,
"100,00%","86,00%",1,1,t,t,Copacabana,8,2,3,3,"$3,489.00",3,60,3,3,60,60,3.0,60.0,t,29,59,83,358,144,4,1,4.86,4.71,f,1,1,0,1.16,,,,,,,,
"100,00%","97,00%",4,4,t,t,Copacabana,2,1,1,1,$330.00,5,90,5,10,90,90,5.9,90.0,t,6,9,25,289,110,5,1,4.85,4.79,f,3,1,2,0.87,,,,,,,,
"100,00%","97,00%",4,4,t,t,Copacabana,2,1,1,1,$329.00,10,90,10,10,1125,1125,10.0,1125.0,t,5,21,40,315,89,9,1,4.83,4.82,t,3,1,2,0.70,,,,,,,,
"100,00%","89,00%",2,2,t,t,Copacabana,6,2,2,5,"$1,611.00",3,1125,3,140,1000,1125,38.2,1040.2,t,0,0,0,251,68,5,0,4.97,4.75,t,1,1,0,0.55,,,,,,,,
N/A,N/A,1,1,t,f,Centro,2,1,1,1,$681.00,3,30,3,3,30,30,3.0,30.0,t,30,60,90,365,0,0,0,,,f,1,0,1,,,,,,,,,
"100,00%","89,00%",3,3,t,t,Copacabana,5,1,2,5,$657.00,2,60,2,6,60,60,2.3,60.0,t,18,48,78,176,42,10,0,4.55,4.69,f,3,3,0,0.34,,,,,,,,
"100,00%","0,00%",2,2,t,t,Botafogo,2,1.5  ,1,1,$800.00,3,365,3,3,365,365,3.0,365.0,t,25,55,85,359,46,0,0,4.76,4.63,f,2,1,1,0.40,,,,,,,,
"98,00%","81,00%",33,33,t,t,Ipanema,4,1.5 ,2,3,$626.00,4,90,4,4,90,90,4.0,90.0,t,0,0,24,204,167,8,0,4.56,4.47,f,27,26,1,1.33,,,,,,,,
"100,00%","100,00%",4,4,t,t,Humaitá,1,1,1,1,$164.00,5,1125,5,5,1125,1125,5.0,1125.0,t,24,54,84,359,1,0,0,5.0,5.0,f,2,0,2,0.01,,,,,,,,
"100,00%","82,00%",3,3,t,t,Ipanema,2,1.5  ,1,1,$442.00,4,30,4,5,10,1125,4.0,1069.5,t,0,18,43,133,183,2,1,4.77,4.69,t,3,1,2,1.67,,,,,,,,
N/A,N/A,1,1,t,f,Copacabana,4,1,1,2,$180.00,2,45,2,2,45,45,2.0,45.0,t,0,0,0,83,76,0,0,4.78,4.76,f,1,1,0,0.61,,,,,,,,
"100,00%","0,00%",3,3,t,f,Marechal Hermes,4,1,1,3,$69.00,1,365,1,1,365,365,1.0,365.0,t,28,58,88,363,6,0,0,4.0,3.6,f,2,0,2,0.05,,,,,,,,
